diseases,sintomas,texto
acute bronchiolitis,"['nasal congestion', 'wheezing', 'decreased appetite', 'pulling at ears', 'cough', 'shortness of breath', 'coryza', 'difficulty breathing', 'irritable infant', 'vomiting', 'hurts to breath', 'fever']","
    Acute bronchiolitis is a condition that may present symptoms such as nasal congestion, wheezing, decreased appetite, pulling at ears, cough, shortness of breath, coryza, difficulty breathing, irritable infant, vomiting, hurts to breath, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acute bronchitis,"['nasal congestion', 'wheezing', 'coughing up sputum', 'congestion in chest', 'cough', 'sharp chest pain', 'shortness of breath', 'sore throat', 'coryza', 'difficulty breathing', 'headache', 'fever']","
    Acute bronchitis is a condition that may present symptoms such as nasal congestion, wheezing, coughing up sputum, congestion in chest, cough, sharp chest pain, shortness of breath, sore throat, coryza, difficulty breathing, headache, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acute bronchospasm,"['nasal congestion', 'wheezing', 'cough', 'sharp chest pain', 'shortness of breath', 'sore throat', 'coryza', 'difficulty breathing', 'chest tightness', 'vomiting', 'fever']","
    Acute bronchospasm is a condition that may present symptoms such as nasal congestion, wheezing, cough, sharp chest pain, shortness of breath, sore throat, coryza, difficulty breathing, chest tightness, vomiting, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acute fatty liver of pregnancy (aflp),"['emotional symptoms', 'sharp abdominal pain']","
    Acute fatty liver of pregnancy (aflp) is a condition that may present symptoms such as emotional symptoms, sharp abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acute glaucoma,"['eye redness', 'double vision', 'diminished vision', 'foreign body sensation in eye', 'spots or clouds in vision', 'pain in eye', 'symptoms of eye', 'blindness']","
    Acute glaucoma is a condition that may present symptoms such as eye redness, double vision, diminished vision, foreign body sensation in eye, spots or clouds in vision, pain in eye, symptoms of eye, blindness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acute kidney injury,"['sharp abdominal pain', 'sharp chest pain', 'shortness of breath', 'symptoms of the kidneys', 'nausea', 'peripheral edema', 'weakness', 'kidney mass', 'vomiting', 'dizziness', 'retention of urine']","
    Acute kidney injury is a condition that may present symptoms such as sharp abdominal pain, sharp chest pain, shortness of breath, symptoms of the kidneys, nausea, peripheral edema, weakness, kidney mass, vomiting, dizziness, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acute otitis media,"['nasal congestion', 'fever', 'cough', 'ear pain', 'sore throat', 'fluid in ear', 'coryza', 'redness in ear', 'diminished hearing', 'plugged feeling in ear']","
    Acute otitis media is a condition that may present symptoms such as nasal congestion, fever, cough, ear pain, sore throat, fluid in ear, coryza, redness in ear, diminished hearing, plugged feeling in ear.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acute pancreatitis,"['sharp abdominal pain', 'sharp chest pain', 'hemoptysis', 'back pain', 'nausea', 'upper abdominal pain', 'burning abdominal pain', 'lower body pain', 'diarrhea', 'vomiting', 'abusing alcohol', 'side pain']","
    Acute pancreatitis is a condition that may present symptoms such as sharp abdominal pain, sharp chest pain, hemoptysis, back pain, nausea, upper abdominal pain, burning abdominal pain, lower body pain, diarrhea, vomiting, abusing alcohol, side pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acute respiratory distress syndrome (ards),"['wheezing', 'cough', 'sharp chest pain', 'shortness of breath', 'depressive or psychotic symptoms', 'difficulty breathing', 'chest tightness', 'chills', 'fever']","
    Acute respiratory distress syndrome (ards) is a condition that may present symptoms such as wheezing, cough, sharp chest pain, shortness of breath, depressive or psychotic symptoms, difficulty breathing, chest tightness, chills, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acute sinusitis,"['nasal congestion', 'coughing up sputum', 'cough', 'ear pain', 'frontal headache', 'facial pain', 'sore throat', 'coryza', 'sinus congestion', 'painful sinuses', 'fever']","
    Acute sinusitis is a condition that may present symptoms such as nasal congestion, coughing up sputum, cough, ear pain, frontal headache, facial pain, sore throat, coryza, sinus congestion, painful sinuses, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
acute stress reaction,"['depression', 'fatigue', 'sharp chest pain', 'insomnia', 'shortness of breath', 'abnormal involuntary movements', 'anxiety and nervousness', 'depressive or psychotic symptoms', 'headache', 'burning abdominal pain', 'dizziness']","
    Acute stress reaction is a condition that may present symptoms such as depression, fatigue, sharp chest pain, insomnia, shortness of breath, abnormal involuntary movements, anxiety and nervousness, depressive or psychotic symptoms, headache, burning abdominal pain, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
adhesive capsulitis of the shoulder,"['neck pain', 'shoulder stiffness or tightness', 'arm pain', 'ache all over', 'muscle pain', 'shoulder pain']","
    Adhesive capsulitis of the shoulder is a condition that may present symptoms such as neck pain, shoulder stiffness or tightness, arm pain, ache all over, muscle pain, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
adjustment reaction,"['depression', 'insomnia', 'fears and phobias', 'anxiety and nervousness', 'excessive anger', 'hostile behavior', 'delusions or hallucinations', 'restlessness', 'nightmares']","
    Adjustment reaction is a condition that may present symptoms such as depression, insomnia, fears and phobias, anxiety and nervousness, excessive anger, hostile behavior, delusions or hallucinations, restlessness, nightmares.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
adrenal adenoma,"['shortness of breath', 'back weakness', 'sharp abdominal pain', 'anxiety and nervousness']","
    Adrenal adenoma is a condition that may present symptoms such as shortness of breath, back weakness, sharp abdominal pain, anxiety and nervousness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
adrenal cancer,"['diminished hearing', 'dizziness']","
    Adrenal cancer is a condition that may present symptoms such as diminished hearing, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
alcohol abuse,"['depression', 'vomiting blood', 'anxiety and nervousness', 'depressive or psychotic symptoms', 'hostile behavior', 'low self-esteem', 'drug abuse', 'smoking problems', 'abusing alcohol']","
    Alcohol abuse is a condition that may present symptoms such as depression, vomiting blood, anxiety and nervousness, depressive or psychotic symptoms, hostile behavior, low self-esteem, drug abuse, smoking problems, abusing alcohol.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
alcohol intoxication,"['depression', 'sharp chest pain', 'abnormal involuntary movements', 'problems with movement', 'anxiety and nervousness', 'depressive or psychotic symptoms', 'vomiting', 'abusing alcohol']","
    Alcohol intoxication is a condition that may present symptoms such as depression, sharp chest pain, abnormal involuntary movements, problems with movement, anxiety and nervousness, depressive or psychotic symptoms, vomiting, abusing alcohol.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
alcohol withdrawal,"['seizures', 'sharp chest pain', 'abnormal involuntary movements', 'depressive or psychotic symptoms', 'antisocial behavior', 'fainting', 'delusions or hallucinations', 'vomiting', 'abusing alcohol', 'dizziness']","
    Alcohol withdrawal is a condition that may present symptoms such as seizures, sharp chest pain, abnormal involuntary movements, depressive or psychotic symptoms, antisocial behavior, fainting, delusions or hallucinations, vomiting, abusing alcohol, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
alcoholic liver disease,"['sharp abdominal pain', 'stomach bloating', 'abnormal involuntary movements', 'peripheral edema', 'weight gain', 'diarrhea', 'abusing alcohol']","
    Alcoholic liver disease is a condition that may present symptoms such as sharp abdominal pain, stomach bloating, abnormal involuntary movements, peripheral edema, weight gain, diarrhea, abusing alcohol.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
allergy,"['skin rash', 'swollen eye', 'itching of skin', 'cough', 'itchiness of eye', 'abnormal appearing skin', 'peripheral edema', 'fluid retention', 'skin swelling', 'lip swelling', 'allergic reaction']","
    Allergy is a condition that may present symptoms such as skin rash, swollen eye, itching of skin, cough, itchiness of eye, abnormal appearing skin, peripheral edema, fluid retention, skin swelling, lip swelling, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
allergy to animals,"['nasal congestion', 'cross-eyed', 'cough', 'sore throat', 'allergic reaction']","
    Allergy to animals is a condition that may present symptoms such as nasal congestion, cross-eyed, cough, sore throat, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
alopecia,"['acne or pimples', 'itching of skin', 'too little hair', 'skin growth', 'feeling ill', 'irregular appearing scalp', 'skin swelling', 'skin rash']","
    Alopecia is a condition that may present symptoms such as acne or pimples, itching of skin, too little hair, skin growth, feeling ill, irregular appearing scalp, skin swelling, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
alzheimer disease,"['depression', 'eye burns or stings', 'difficulty speaking', 'depressive or psychotic symptoms', 'hostile behavior', 'disturbance of memory', 'delusions or hallucinations', 'irregular appearing scalp']","
    Alzheimer disease is a condition that may present symptoms such as depression, eye burns or stings, difficulty speaking, depressive or psychotic symptoms, hostile behavior, disturbance of memory, delusions or hallucinations, irregular appearing scalp.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
amblyopia,"['cross-eyed', 'diminished vision', 'pain in eye', 'pus draining from ear', 'eye deviation']","
    Amblyopia is a condition that may present symptoms such as cross-eyed, diminished vision, pain in eye, pus draining from ear, eye deviation.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
amyloidosis,"['shortness of breath', 'anxiety and nervousness', 'wrist weakness']","
    Amyloidosis is a condition that may present symptoms such as shortness of breath, anxiety and nervousness, wrist weakness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
amyotrophic lateral sclerosis (als),"['difficulty speaking', 'leg cramps or spasms', 'abnormal involuntary movements', 'weakness', 'difficulty in swallowing']","
    Amyotrophic lateral sclerosis (als) is a condition that may present symptoms such as difficulty speaking, leg cramps or spasms, abnormal involuntary movements, weakness, difficulty in swallowing.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
anal fissure,"['changes in stool appearance', 'sharp abdominal pain', 'vaginal dryness', 'constipation', 'blood in stool', 'pain of the anus', 'rectal bleeding', 'lower body pain']","
    Anal fissure is a condition that may present symptoms such as changes in stool appearance, sharp abdominal pain, vaginal dryness, constipation, blood in stool, pain of the anus, rectal bleeding, lower body pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
anal fistula,"['rectal bleeding', 'pain of the anus', 'blood in stool', 'mass in scrotum']","
    Anal fistula is a condition that may present symptoms such as rectal bleeding, pain of the anus, blood in stool, mass in scrotum.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
anemia,"['changes in stool appearance', 'fatigue', 'vomiting blood', 'shortness of breath', 'melena', 'weakness', 'nosebleed', 'dizziness']","
    Anemia is a condition that may present symptoms such as changes in stool appearance, fatigue, vomiting blood, shortness of breath, melena, weakness, nosebleed, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
anemia due to chronic kidney disease,"['fatigue', 'shortness of breath', 'peripheral edema', 'ankle swelling', 'weakness', 'recent weight loss']","
    Anemia due to chronic kidney disease is a condition that may present symptoms such as fatigue, shortness of breath, peripheral edema, ankle swelling, weakness, recent weight loss.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
anemia due to malignancy,"['shortness of breath', 'difficulty in swallowing', 'flatulence', 'fatigue']","
    Anemia due to malignancy is a condition that may present symptoms such as shortness of breath, difficulty in swallowing, flatulence, fatigue.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
anemia of chronic disease,"['feeling ill', 'emotional symptoms', 'dizziness', 'weakness']","
    Anemia of chronic disease is a condition that may present symptoms such as feeling ill, emotional symptoms, dizziness, weakness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
angina,"['sharp chest pain', 'shortness of breath', 'sweating', 'arm pain', 'palpitations', 'irregular heartbeat', 'hot flashes', 'chest tightness', 'lower body pain', 'increased heart rate', 'dizziness']","
    Angina is a condition that may present symptoms such as sharp chest pain, shortness of breath, sweating, arm pain, palpitations, irregular heartbeat, hot flashes, chest tightness, lower body pain, increased heart rate, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
ankylosing spondylitis,"['elbow pain', 'knee pain', 'low back pain', 'ache all over', 'leg pain', 'lower body pain', 'hip pain', 'back pain', 'stiffness all over', 'paresthesia']","
    Ankylosing spondylitis is a condition that may present symptoms such as elbow pain, knee pain, low back pain, ache all over, leg pain, lower body pain, hip pain, back pain, stiffness all over, paresthesia.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
anxiety,"['depression', 'sharp chest pain', 'shortness of breath', 'insomnia', 'fears and phobias', 'abnormal involuntary movements', 'anxiety and nervousness', 'depressive or psychotic symptoms', 'irregular heartbeat', 'headache', 'increased heart rate', 'palpitations']","
    Anxiety is a condition that may present symptoms such as depression, sharp chest pain, shortness of breath, insomnia, fears and phobias, abnormal involuntary movements, anxiety and nervousness, depressive or psychotic symptoms, irregular heartbeat, headache, increased heart rate, palpitations.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
aortic valve disease,"['sharp chest pain', 'shortness of breath', 'groin mass', 'peripheral edema', 'lymphedema', 'fainting', 'irregular heartbeat', 'difficulty breathing', 'palpitations']","
    Aortic valve disease is a condition that may present symptoms such as sharp chest pain, shortness of breath, groin mass, peripheral edema, lymphedema, fainting, irregular heartbeat, difficulty breathing, palpitations.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
aphakia,"['eye burns or stings', 'diminished vision', 'symptoms of eye', 'spots or clouds in vision']","
    Aphakia is a condition that may present symptoms such as eye burns or stings, diminished vision, symptoms of eye, spots or clouds in vision.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
aphthous ulcer,"['mouth ulcer', 'cough', 'toothache', 'sore throat', 'tongue lesions', 'mouth pain', 'headache', 'fever']","
    Aphthous ulcer is a condition that may present symptoms such as mouth ulcer, cough, toothache, sore throat, tongue lesions, mouth pain, headache, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
aplastic anemia,"['fatigue', 'lack of growth', 'nausea', 'slurring words', 'weakness', 'fever']","
    Aplastic anemia is a condition that may present symptoms such as fatigue, lack of growth, nausea, slurring words, weakness, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
appendicitis,"['sharp abdominal pain', 'decreased appetite', 'stomach bloating', 'lower abdominal pain', 'upper abdominal pain', 'nausea', 'burning abdominal pain', 'diarrhea', 'vomiting', 'side pain', 'fever']","
    Appendicitis is a condition that may present symptoms such as sharp abdominal pain, decreased appetite, stomach bloating, lower abdominal pain, upper abdominal pain, nausea, burning abdominal pain, diarrhea, vomiting, side pain, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
arrhythmia,"['fatigue', 'sharp chest pain', 'shortness of breath', 'leg cramps or spasms', 'dizziness', 'fainting', 'chest tightness', 'palpitations']","
    Arrhythmia is a condition that may present symptoms such as fatigue, sharp chest pain, shortness of breath, leg cramps or spasms, dizziness, fainting, chest tightness, palpitations.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
arthritis of the hip,"['knee pain', 'groin pain', 'low back pain', 'pelvic pain', 'hip stiffness or tightness', 'joint pain', 'ache all over', 'problems with movement', 'leg pain', 'lower body pain', 'hip pain', 'back pain']","
    Arthritis of the hip is a condition that may present symptoms such as knee pain, groin pain, low back pain, pelvic pain, hip stiffness or tightness, joint pain, ache all over, problems with movement, leg pain, lower body pain, hip pain, back pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
ascending cholangitis,"['sharp abdominal pain', 'shortness of breath', 'jaundice', 'fever', 'retention of urine']","
    Ascending cholangitis is a condition that may present symptoms such as sharp abdominal pain, shortness of breath, jaundice, fever, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
asperger syndrome,"['depression', 'lack of growth', 'anxiety and nervousness', 'excessive anger', 'depressive or psychotic symptoms', 'hostile behavior', 'fainting', 'antisocial behavior']","
    Asperger syndrome is a condition that may present symptoms such as depression, lack of growth, anxiety and nervousness, excessive anger, depressive or psychotic symptoms, hostile behavior, fainting, antisocial behavior.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
aspergillosis,"['knee lump or mass', 'shortness of breath']","
    Aspergillosis is a condition that may present symptoms such as knee lump or mass, shortness of breath.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
asthma,"['wheezing', 'nasal congestion', 'coughing up sputum', 'cough', 'sharp chest pain', 'shortness of breath', 'coryza', 'difficulty breathing', 'chest tightness', 'fever', 'allergic reaction']","
    Asthma is a condition that may present symptoms such as wheezing, nasal congestion, coughing up sputum, cough, sharp chest pain, shortness of breath, coryza, difficulty breathing, chest tightness, fever, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
astigmatism,"['diminished vision', 'double vision', 'lacrimation', 'foreign body sensation in eye', 'spots or clouds in vision', 'pain in eye', 'symptoms of eye', 'eye deviation']","
    Astigmatism is a condition that may present symptoms such as diminished vision, double vision, lacrimation, foreign body sensation in eye, spots or clouds in vision, pain in eye, symptoms of eye, eye deviation.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
atelectasis,"['cough', 'sharp chest pain', 'shortness of breath', 'sore throat', 'headache', 'dizziness']","
    Atelectasis is a condition that may present symptoms such as cough, sharp chest pain, shortness of breath, sore throat, headache, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
athlete's foot,"['foot or toe pain', 'abnormal appearing skin', 'foot or toe swelling', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'irregular appearing nails', 'skin swelling', 'skin rash']","
    Athlete's foot is a condition that may present symptoms such as foot or toe pain, abnormal appearing skin, foot or toe swelling, skin lesion, skin dryness, peeling, scaliness, or roughness, irregular appearing nails, skin swelling, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
atonic bladder,"['suprapubic pain', 'emotional symptoms', 'impotence', 'symptoms of bladder', 'retention of urine']","
    Atonic bladder is a condition that may present symptoms such as suprapubic pain, emotional symptoms, impotence, symptoms of bladder, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
atrial fibrillation,"['fatigue', 'decreased heart rate', 'sharp chest pain', 'shortness of breath', 'dizziness', 'irregular heartbeat', 'increased heart rate', 'palpitations']","
    Atrial fibrillation is a condition that may present symptoms such as fatigue, decreased heart rate, sharp chest pain, shortness of breath, dizziness, irregular heartbeat, increased heart rate, palpitations.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
atrial flutter,"['sharp chest pain', 'shortness of breath', 'palpitations', 'irregular heartbeat', 'chest tightness', 'swollen lymph nodes', 'increased heart rate', 'frequent urination']","
    Atrial flutter is a condition that may present symptoms such as sharp chest pain, shortness of breath, palpitations, irregular heartbeat, chest tightness, swollen lymph nodes, increased heart rate, frequent urination.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
atrophic skin condition,"['acne or pimples', 'skin moles', 'skin growth', 'wrinkles on skin', 'abnormal appearing skin', 'skin lesion', 'skin irritation', 'skin swelling', 'lip swelling']","
    Atrophic skin condition is a condition that may present symptoms such as acne or pimples, skin moles, skin growth, wrinkles on skin, abnormal appearing skin, skin lesion, skin irritation, skin swelling, lip swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
atrophic vaginitis,"['involuntary urination', 'vaginal discharge', 'vaginal itching', 'painful urination', 'suprapubic pain', 'blood in urine', 'pain during intercourse', 'frequent urination']","
    Atrophic vaginitis is a condition that may present symptoms such as involuntary urination, vaginal discharge, vaginal itching, painful urination, suprapubic pain, blood in urine, pain during intercourse, frequent urination.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
atrophy of the corpus cavernosum,"['skin growth', 'abnormal appearing skin', 'impotence', 'bumps on penis', 'frequent urination']","
    Atrophy of the corpus cavernosum is a condition that may present symptoms such as skin growth, abnormal appearing skin, impotence, bumps on penis, frequent urination.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
attention deficit hyperactivity disorder (adhd),"['depression', 'lack of growth', 'anxiety and nervousness', 'temper problems', 'depressive or psychotic symptoms', 'hostile behavior', 'drug abuse', 'restlessness', 'antisocial behavior']","
    Attention deficit hyperactivity disorder (adhd) is a condition that may present symptoms such as depression, lack of growth, anxiety and nervousness, temper problems, depressive or psychotic symptoms, hostile behavior, drug abuse, restlessness, antisocial behavior.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
autism,"['long menstrual periods', 'difficulty speaking', 'seizures', 'lack of growth', 'constipation', 'depressive or psychotic symptoms', 'temper problems', 'hostile behavior', 'antisocial behavior']","
    Autism is a condition that may present symptoms such as long menstrual periods, difficulty speaking, seizures, lack of growth, constipation, depressive or psychotic symptoms, temper problems, hostile behavior, antisocial behavior.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
autonomic nervous system disorder,"['decreased appetite', 'leg pain', 'headache', 'difficulty in swallowing', 'dizziness']","
    Autonomic nervous system disorder is a condition that may present symptoms such as decreased appetite, leg pain, headache, difficulty in swallowing, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
